week_start,category,swap_events,pct_of_week,method
2026-05-11,Native Solana,5157436,38.711401364114394,all_events
2026-05-11,Meme Coin,1387403,10.413762650040912,all_events
2026-05-11,Unmapped,830111,6.230762746792468,all_events
2026-05-11,Cross-Chain Asset,411216,3.086562319599441,all_events
2026-05-11,Liquid Staking,135802,1.019321563670293,all_events
2026-05-11,Tokenized RWA,44866,0.336761470932912,all_events
2026-05-11,Other,17894,0.134311277155831,all_events
2026-05-18,Stablecoin,5811752,42.3410500008524,all_events
2026-05-18,Native Solana,5055135,36.828777930658255,all_events
2026-05-18,Meme Coin,1332066,9.704659302467732,all_events
2026-05-18,Unmapped,771450,5.620336694194381,all_events
2026-05-18,Cross-Chain Asset,575903,4.195694812621202,all_events
2026-05-18,Liquid Staking,124860,0.909657449785612,all_events
2026-05-18,Tokenized RWA,37428,0.272678672357648,all_events
2026-05-18,Other,17452,0.127145137062778,all_events
2026-05-25,Stablecoin,4624601,40.616987059145806,all_events
2026-05-25,Native Solana,4254213,37.3639400172793,all_events
2026-05-25,Meme Coin,1174700,10.31716567513145,all_events
2026-05-25,Unmapped,735551,6.4602039069623,all_events
2026-05-25,Cross-Chain Asset,438958,3.855284251659446,all_events
2026-05-25,Liquid Staking,105522,0.926779566162612,all_events
2026-05-25,Tokenized RWA,32659,0.2868377575416,all_events
2026-05-25,Other,19675,0.172801766117486,all_events
2026-06-01,Stablecoin,7218655,42.655484277816235,all_events
2026-06-01,Native Solana,6057385,35.79346715311645,all_events
2026-06-01,Meme Coin,1421454,8.399460668038436,all_events
2026-06-01,Cross-Chain Asset,977028,5.773319613277853,all_events
2026-06-01,Unmapped,894518,5.285762858208852,all_events
2026-06-01,Liquid Staking,268509,1.58663648947791,all_events
2026-06-01,Tokenized RWA,67655,0.399777630156263,all_events
2026-06-01,Other,17954,0.106091309907997,all_events
2026-06-08,Stablecoin,5328973,40.696381310453035,all_events
2026-06-08,Native Solana,4849303,37.03323022614748,all_events
2026-06-08,Meme Coin,1358895,10.377629813637276,all_events
2026-06-08,Unmapped,879025,6.712951366317858,all_events
2026-06-08,Cross-Chain Asset,454024,3.467297325037512,all_events
2026-06-08,Liquid Staking,157154,1.200156035405497,all_events
2026-06-08,Tokenized RWA,48459,0.370072421444665,all_events
2026-06-08,Other,18631,0.142281501556688,all_events
2026-06-15,Stablecoin,5313184,39.99085653865495,all_events
2026-06-15,Native Solana,5194864,39.10029484426348,all_events
2026-06-15,Meme Coin,1205049,9.07006828317062,all_events
2026-06-15,Unmapped,741538,5.58135004847585,all_events
2026-06-15,Cross-Chain Asset,474897,3.574417486320372,all_events
2026-06-15,Liquid Staking,193428,1.455878696946868,all_events
2026-06-15,Tokenized RWA,147220,1.108083947331916,all_events
2026-06-15,Other,15817,0.119050154835952,all_events
2026-06-22,Stablecoin,5806304,41.281522970976475,all_events
2026-06-22,Native Solana,5320271,37.82593703297657,all_events
2026-06-22,Meme Coin,1050496,7.468791636627862,all_events
2026-06-22,Unmapped,939415,6.679030567772521,all_events
2026-06-22,Cross-Chain Asset,431436,3.067413477576476,all_events
2026-06-22,Liquid Staking,277727,1.974576861659393,all_events
2026-06-22,Tokenized RWA,233080,1.65714667610845,all_events
2026-06-22,Other,6411,0.045580776302262,all_events
2026-06-29,Stablecoin,1644469,42.10908930752096,all_events
2026-06-29,Native Solana,1439585,36.862727926624075,all_events
2026-06-29,Meme Coin,311784,7.983695831697718,all_events
2026-06-29,Unmapped,256221,6.560922079687929,all_events
2026-06-29,Cross-Chain Asset,113158,2.897579904431435,all_events
2026-06-29,Liquid Staking,75088,1.922740591597126,all_events
2026-06-29,Tokenized RWA,63601,1.628598768993299,all_events
2026-06-29,Other,1353,0.03464558944746,all_events
