token_mint,swap_events,transactions_est,signers_est,estimate_exceeds_events,volume_usd,priced_swap_events,avg_priced_event_usd,in_volume_top50,method
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,280671.0,267957.0,14228.0,False,,,,False,all_events
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,127315003.0,120696657.0,2308391.0,False,82858169662.61705,127315003.0,650.8122979238908,True,all_events
EicWvteVi2fWepEzS3FYWsnuPoP6caZfjnKqNvydLjCH,205907.0,203437.0,1406.0,False,,,,False,all_events
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,34149161.0,32636451.0,392605.0,False,19248562895.988503,34149161.0,563.6613706552997,True,all_events
Es9vdPD6sXzHhbAskU19WFnAtyRo94HKrGrPSdQ3aSSB,173258.0,182595.0,261.0,True,,,,False,all_events
FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,,,,,14120422.116509566,99023.0,142.59739774102547,True,all_events
FmjijgwEHpe32VPvHy1s7u7TLthh9yu1j75djVbWpump,180499.0,181627.0,174480.0,True,,,,False,all_events
G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,301220.0,297053.0,2979.0,False,,,,False,all_events
HmBdm8vbisABUjkxms6ZUnoaXbfwFM6ymxShWfAENaoi,1086601.0,1134475.0,172982.0,True,,,,False,all_events
HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr,566719.0,582389.0,24381.0,True,17236876.1570343,566719.0,30.41520781380949,True,all_events
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,3184763.0,3135769.0,36745.0,False,457513627.0484513,3184763.0,143.65704042920973,True,all_events
J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,267074.0,268238.0,6797.0,True,,,,False,all_events
J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,168182.0,166618.0,1286.0,False,,,,False,all_events
JE8zmsKRivXggZsJxXHBdCkako85YawNtU5hqS4upump,166433.0,167526.0,14818.0,True,,,,False,all_events
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,2316976.0,2376909.0,96420.0,True,143823830.25685325,2316976.0,62.07394045378685,True,all_events
JuprjznTrTSp2UFa3ZBUFgwdAmtZCq4MQCwysN55USD,1216061.0,1254652.0,48360.0,True,455413299.8833037,1195081.0,381.07316565429767,True,all_events
KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,772604.0,737252.0,25163.0,False,25859490.87108748,772604.0,33.47056301946078,True,all_events
